pc,evr,cum_evr
1,0.04383154246312521,0.04383154246312521
2,0.029839804422386977,0.07367134688551219
3,0.025118723592916732,0.09879007047842892
4,0.022586306040923217,0.12137637651935212
5,0.018630247262556753,0.14000662378190887
6,0.01710502539756457,0.15711164917947343
7,0.016394268942172933,0.17350591812164637
8,0.01516616969901642,0.18867208782066278
9,0.013833115429429069,0.20250520325009186
10,0.013427373538081953,0.21593257678817382
11,0.012699775744297086,0.2286323525324709
12,0.012450944959987742,0.24108329749245866
13,0.011989469132464636,0.2530727666249233
14,0.01173952028933665,0.26481228691425995
15,0.01161379645970601,0.27642608337396596
16,0.011436245233685994,0.28786232860765193
17,0.011293512406436458,0.2991558410140884
18,0.011252310752760862,0.3104081517668492
19,0.010959166313803389,0.3213673180806526
20,0.010907895838258993,0.3322752139189116
21,0.010706399877020798,0.34298161379593245
22,0.010603664113542594,0.353585277909475
23,0.010489939175716946,0.36407521708519197
24,0.010439135339809167,0.37451435242500114
25,0.010379975267660518,0.38489432769266163
26,0.010363132823099192,0.39525746051576083
27,0.010332579825402975,0.4055900403411638
28,0.010261716836118458,0.4158517571772823
29,0.010210176904050362,0.42606193408133264
30,0.010158073509579783,0.4362200075909124
31,0.010119526927689944,0.44633953451860237
32,0.010070520951427887,0.4564100554700303
33,0.010028052273880757,0.46643810774391103
34,0.009993933193537552,0.47643204093744856
35,0.00994903119037323,0.4863810721278218
36,0.009918035320153493,0.4962991074479753
37,0.00988367252893172,0.506182779976907
38,0.009841960264545108,0.5160247402414521
39,0.009806636942892208,0.5258313771843443
40,0.009776842702840594,0.5356082198871849
41,0.009707842478522537,0.5453160623657074
42,0.009690725056201726,0.5550067874219091
43,0.009657908951636854,0.564664696373546
44,0.009653134377930944,0.5743178307514769
45,0.009647901144558301,0.5839657318960352
46,0.009642507559061514,0.5936082394550967
47,0.009638097166555386,0.6032463366216521
48,0.009633361616993394,0.6128796982386454
49,0.00962985462640917,0.6225095528650546
50,0.00962529951526944,0.6321348523803241
51,0.00961914594991606,0.6417539983302402
52,0.009618494986263847,0.651372493316504
53,0.009616247530473713,0.6609887408469778
54,0.00961049923528327,0.670599240082261
55,0.009601388066508482,0.6802006281487695
56,0.00959062465130855,0.689791252800078
57,0.009577257902119777,0.6993685107021979
58,0.009563238296123783,0.7089317489983217
59,0.009550158465287145,0.7184819074636088
60,0.009517428087327086,0.727999335550936
61,0.009510413148062223,0.7375097486989982
62,0.009493132640759709,0.7470028813397579
63,0.009483564269606122,0.7564864456093641
64,0.009433953646810319,0.7659203992561744
65,0.009419547315505657,0.77533994657168
66,0.009388168398507767,0.7847281149701878
67,0.009347700949134346,0.7940758159193222
68,0.009334919884569979,0.8034107358038922
69,0.009296817868242055,0.8127075536721343
70,0.00926081543369663,0.8219683691058309
71,0.009252178579703086,0.831220547685534
72,0.009205853782050185,0.8404264014675842
73,0.009173515348954478,0.8495999168165387
74,0.009035348590793416,0.8586352654073321
75,0.008972072890981467,0.8676073382983136
76,0.008824446517083038,0.8764317848153966
77,0.008797324838380903,0.8852291096537775
78,0.008777177693576912,0.8940062873473544
79,0.00868198389875981,0.9026882712461143
80,0.008486360672708521,0.9111746319188228
81,0.008365624665183227,0.919540256584006
82,0.008279556113411192,0.9278198126974172
83,0.008019051094466973,0.9358388637918842
84,0.0077703977788287654,0.943609261570713
85,0.007642457388593981,0.9512517189593069
86,0.0070328116053428045,0.9582845305646498
87,0.006987974594058947,0.9652725051587088
88,0.006353197904077181,0.971625703062786
89,0.005983245635056702,0.9776089486978427
90,0.005764724365655906,0.9833736730634985
91,0.005242899948473122,0.9886165730119717
92,0.0046577166881669255,0.9932742897001386
93,0.004143156954618263,0.997417446654757
94,0.0023878941943548393,0.9998053408491118
95,0.00019465915088860705,1.0000000000000004
96,1.069454874180517e-17,1.0000000000000004
97,8.084278796993047e-18,1.0000000000000004
98,3.609736017658869e-18,1.0000000000000004
99,2.584985877826597e-18,1.0000000000000004
100,1.7931695424214756e-18,1.0000000000000004
101,1.5164121229291089e-18,1.0000000000000004
102,0.0,1.0000000000000004
103,0.0,1.0000000000000004
104,0.0,1.0000000000000004
